modèle,accuracy,precision,recall,f1-score,auc,threshold,mean_fold_scores,reduction
nn,0.7215189873417721,0.7198717948717949,0.7365517241379311,0.7160130718954248,0.8165517241379311,0.1914452695941928,0.8647619047619047,True
nn,0.759493670886076,0.7496770025839793,0.766551724137931,0.7516956162117452,0.8124137931034482,0.3199802567199117,0.7980952380952381,False
lr,0.7341772151898734,0.7228813559322034,0.6813793103448276,0.6893840104849279,0.8351724137931035,0.5,0.8918181818181818,True
lr,0.7468354430379747,0.7671875,0.6768965517241379,0.6850079744816586,0.8379310344827585,0.5,0.8227272727272726,False
rf,0.7341772151898734,0.7400793650793651,0.666896551724138,0.6737463126843658,0.7482758620689655,0.5,0.8254545454545454,True
rf,0.759493670886076,0.779265873015873,0.6941379310344827,0.7048180924287119,0.7593103448275862,0.5,0.8062626262626262,False
xgb,0.6708860759493671,0.6408918406072106,0.6024137931034483,0.6013198757763976,0.7586206896551724,0.5,0.8573737373737373,True
xgb,0.7088607594936709,0.6852272727272728,0.6686206896551724,0.6734950584007188,0.8034482758620689,0.5,0.8121212121212121,False
