,modèle,accuracy,precision,recall,f1-score,auc,threshold,fold_1,fold_2,fold_3,fold_4,fold_5,tp,tn,fp,fn
0,nn,0.7558139534883721,0.7472826086956521,0.7668621700879765,0.7481522800167341,0.7929618768328445,0.665602442823095,0.7272727272727273,0.8888888888888888,0.8,0.8888888888888888,0.8888888888888888,40,15,6,25
1,xgb,0.7209302325581395,0.6963097398669087,0.6903225806451614,0.6928571428571428,0.7888563049853372,0.562143620798033,0.5454545454545454,0.8,0.8,0.8888888888888888,0.8333333333333334,44,11,13,18
2,rf,0.6744186046511628,0.6395604395604395,0.6117302052785923,0.6141025641025641,0.766275659824047,0.5240228183699509,0.6666666666666666,0.9090909090909091,0.7272727272727273,0.9090909090909091,0.8333333333333334,46,9,19,12
3,lr,0.8023255813953488,0.7900219298245614,0.8102639296187684,0.7942873223582383,0.7958944281524927,0.5962784230252901,0.7272727272727273,0.5714285714285714,0.8,0.9090909090909091,0.5714285714285714,43,12,5,26
